Id,price,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,reviews_per_month
0,150,f,22,t,-33.84646947,151.2051705,Apartment,Entire home/apt,2,1,1,1,500,330,0,7,1125,1,100,10,10,10,10,10,10,f,f,strict,0.53
1,66,f,1,t,-33.8957357,151.173529,Apartment,Private room,2,1.5,1,1,,,0,21,30,0,,,,,,,,f,f,flexible,
2,325,t,1,t,-33.87932192,151.2224078,House,Entire home/apt,4,2,2,2,500,180,0,3,90,21,99,10,10,10,10,10,9,f,f,moderate,2.38
3,145,f,1,f,-33.85687415,151.1495998,House,Entire home/apt,6,1.5,3,4,0,80,0,4,1125,3,100,10,10,10,10,10,10,f,f,flexible,1.96
4,200,f,6,t,-33.90714981,151.1785521,House,Entire home/apt,4,1,2,2,350,85,50,2,30,22,97,10,10,10,10,10,10,f,f,moderate,2.73
5,360,f,1,f,-33.89395389,151.2449073,House,Entire home/apt,6,1,3,4,,70,0,2,1125,7,100,10,10,10,10,10,10,f,f,flexible,0.28
6,350,f,1,t,-33.88909072,151.2772901,Apartment,Entire home/apt,4,1,2,2,,50,0,2,1125,2,90,9,9,10,10,10,9,t,f,moderate,0.16
7,117,f,1,t,-33.87899825,151.2338897,Apartment,Entire home/apt,2,1,1,1,,35,30,1,1125,5,80,10,10,10,10,10,8,f,f,moderate,0.45
8,188,f,2,t,-33.88727018,151.2730312,Apartment,Entire home/apt,6,1,2,3,0,80,40,3,365,73,92,9,9,10,10,10,9,t,t,strict,2.93
9,120,f,1,t,-33.89582491,151.2596946,Apartment,Entire home/apt,2,1,1,1,,,0,1,1125,0,,,,,,,,t,f,flexible,
